,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
12353,13,49,3,Olaf,O.F.,,Stuger,male,GooiseMeren,GM1942,Noord-Holland,PV27
12354,13,50,3,Gom,G.A.,van,Strien,male,Venlo,GM0983,Limburg,PV31
12355,13,1,4,Emile,E.G.M.,,Roemer,male,Boxmeer,GM0756,Noord-Brabant,PV30
12356,13,2,4,Renske,R.M.,,Leijten,female,Haarlem,GM0392,Noord-Holland,PV27
12357,13,3,4,Lillian,L.M.C.,,Marijnissen,female,Oss,GM0828,Noord-Brabant,PV30
12358,13,4,4,Ronald,A.A.G.M.,van,Raak,male,Amsterdam,GM0363,Noord-Holland,PV27
12359,13,5,4,Sadet,S.,,Karabulut,female,Amsterdam,GM0363,Noord-Holland,PV27
12360,13,6,4,Sandra,S.M.,,Beckerman,female,Groningen,GM0014,Groningen,PV20
12361,13,7,4,Michiel,M.,van,Nispen,male,Breda,GM0758,Noord-Brabant,PV30
12362,13,8,4,Peter,J.P.,,Kwint,male,Amsterdam,GM0363,Noord-Holland,PV27
12363,13,9,4,Bart,B.,van,Kent,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12364,13,10,4,Cem,C.,,Laçin,male,Rotterdam,GM0599,Zuid-Holland,PV28
12365,13,11,4,Frank,F.W.,,Futselaar,male,Zwolle,GM0193,Overijssel,PV23
12366,13,12,4,Nine,C.J.E.,,Kooiman,female,Utrecht,GM0344,Utrecht,PV26
